point	title	description	icon
334203.936881,188736.045048	GM133	<a target='_new' href='static/monumenten/pdfs/GM133.pdf'>OPEN DOCUMENT</a>	gm.png
334433.065669,188969.340415	GM147	<a target='_new' href='static/monumenten/pdfs/GM147.pdf'>OPEN DOCUMENT</a>	gm.png
334504.866609,188837.120945	GM153	<a target='_new' href='static/monumenten/pdfs/GM153.pdf'>OPEN DOCUMENT</a>	gm.png
334399.552158,188881.37915	GM157	<a target='_new' href='static/monumenten/pdfs/GM157.pdf'>OPEN DOCUMENT</a>	gm.png
334402.057086,188872.572619	GM159	<a target='_new' href='static/monumenten/pdfs/GM159.pdf'>OPEN DOCUMENT</a>	gm.png
334413.812836,188811.235527	GM163	<a target='_new' href='static/monumenten/pdfs/GM163.pdf'>OPEN DOCUMENT</a>	gm.png
334408.563941,188794.45145	GM164	<a target='_new' href='static/monumenten/pdfs/GM164.pdf'>OPEN DOCUMENT</a>	gm.png
334388.888526,188779.827065	GM166	<a target='_new' href='static/monumenten/pdfs/GM166.pdf'>OPEN DOCUMENT</a>	gm.png
334406.15518,188763.413355	GM167	<a target='_new' href='static/monumenten/pdfs/GM167.pdf'>OPEN DOCUMENT</a>	gm.png
334389.019894,188772.628827	GM168	<a target='_new' href='static/monumenten/pdfs/GM168.pdf'>OPEN DOCUMENT</a>	gm.png
334404.756338,188737.614235	GM170	<a target='_new' href='static/monumenten/pdfs/GM170.pdf'>OPEN DOCUMENT</a>	gm.png
334385.517576,188724.288668	GM171	<a target='_new' href='static/monumenten/pdfs/GM171.pdf'>OPEN DOCUMENT</a>	gm.png
334409.147417,188691.830648	GM173	<a target='_new' href='static/monumenten/pdfs/GM173.pdf'>OPEN DOCUMENT</a>	gm.png
334357.005696,188883.762824	GM178	<a target='_new' href='static/monumenten/pdfs/GM178.pdf'>OPEN DOCUMENT</a>	gm.png
334395.39689,188896.344227	GM180	<a target='_new' href='static/monumenten/pdfs/GM180.pdf'>OPEN DOCUMENT</a>	gm.png
334931.215678,189557.163146	GM189	<a target='_new' href='static/monumenten/pdfs/GM189.pdf'>OPEN DOCUMENT</a>	gm.png
334445.365992,189052.279825	GM190	<a target='_new' href='static/monumenten/pdfs/GM190.pdf'>OPEN DOCUMENT</a>	gm.png
334425.47711,189062.199921	GM191	<a target='_new' href='static/monumenten/pdfs/GM191.pdf'>OPEN DOCUMENT</a>	gm.png
334316.820519,188561.700356	GM193	<a target='_new' href='static/monumenten/pdfs/GM193.pdf'>OPEN DOCUMENT</a>	gm.png
334267.055044,188937.141339	GM197	<a target='_new' href='static/monumenten/pdfs/GM197.pdf'>OPEN DOCUMENT</a>	gm.png
334271.919541,188935.000394	GM198	<a target='_new' href='static/monumenten/pdfs/GM198.pdf'>OPEN DOCUMENT</a>	gm.png
334347.348412,189094.27128	GM200	<a target='_new' href='static/monumenten/pdfs/GM200.pdf'>OPEN DOCUMENT</a>	gm.png
334251.358261,189094.134519	GM201	<a target='_new' href='static/monumenten/pdfs/GM201.pdf'>OPEN DOCUMENT</a>	gm.png
334180.331687,189133.663297	GM203	<a target='_new' href='static/monumenten/pdfs/GM203.pdf'>OPEN DOCUMENT</a>	gm.png
334172.650558,189137.918356	GM204	<a target='_new' href='static/monumenten/pdfs/GM204.pdf'>OPEN DOCUMENT</a>	gm.png
334112.824277,189170.38511	GM205	<a target='_new' href='static/monumenten/pdfs/GM205.pdf'>OPEN DOCUMENT</a>	gm.png
334105.734162,189174.461357	GM206	<a target='_new' href='static/monumenten/pdfs/GM206.pdf'>OPEN DOCUMENT</a>	gm.png
334098.358639,189179.330503	GM207	<a target='_new' href='static/monumenten/pdfs/GM207.pdf'>OPEN DOCUMENT</a>	gm.png
334465.212187,188401.523528	GM209	<a target='_new' href='static/monumenten/pdfs/GM209.pdf'>OPEN DOCUMENT</a>	gm.png
334356.337176,188299.57652	GM211	<a target='_new' href='static/monumenten/pdfs/GM211.pdf'>OPEN DOCUMENT</a>	gm.png
334312.380523,188263.470723	GM213	<a target='_new' href='static/monumenten/pdfs/GM213.pdf'>OPEN DOCUMENT</a>	gm.png
334257.912164,188236.446056	GM215	<a target='_new' href='static/monumenten/pdfs/GM215.pdf'>OPEN DOCUMENT</a>	gm.png
334094.475482,188119.283977	GM217	<a target='_new' href='static/monumenten/pdfs/GM217.pdf'>OPEN DOCUMENT</a>	gm.png
334077.861701,188116.432094	GM218	<a target='_new' href='static/monumenten/pdfs/GM218.pdf'>OPEN DOCUMENT</a>	gm.png
334599.318096,188386.12112	GM222	<a target='_new' href='static/monumenten/pdfs/GM222.pdf'>OPEN DOCUMENT</a>	gm.png
334604.366445,188383.958601	GM223	<a target='_new' href='static/monumenten/pdfs/GM223.pdf'>OPEN DOCUMENT</a>	gm.png
335443.381995,190092.965527	GM227	<a target='_new' href='static/monumenten/pdfs/GM227.pdf'>OPEN DOCUMENT</a>	gm.png
334447.085199,188509.365537	GM230	<a target='_new' href='static/monumenten/pdfs/GM230.pdf'>OPEN DOCUMENT</a>	gm.png
334763.982883,188403.541579	GM233	<a target='_new' href='static/monumenten/pdfs/GM233.pdf'>OPEN DOCUMENT</a>	gm.png
334491.668825,188332.55467	GM236	<a target='_new' href='static/monumenten/pdfs/GM236.pdf'>OPEN DOCUMENT</a>	gm.png
339477.453013,184471.435375	GM003	<a target='_new' href='static/monumenten/pdfs/GM003.pdf'>OPEN DOCUMENT</a>	gm.png
339152.626961,182271.440121	GM005	<a target='_new' href='static/monumenten/pdfs/GM005.pdf'>OPEN DOCUMENT</a>	gm.png
339203.06086,181954.794481	GM006	<a target='_new' href='static/monumenten/pdfs/GM006.pdf'>OPEN DOCUMENT</a>	gm.png
